,loss
94,1.9018589973449707
95,1.7878769767284393
96,2.0111853849887846
97,1.8302885329723357
98,2.115891788005829
99,2.3082746052742005
100,1.9188704776763916
101,1.7764427697658538
102,1.9401271760463714
103,2.244264518022537
104,2.0020958721637725
105,1.8564602637290955
106,1.8730315232276917
107,1.9309855806827545
108,2.198087168931961
109,2.296204071044922
110,2.2636821413040162
111,2.4799115896224975
112,2.1934941387176514
113,2.210451409816742
114,2.0417432475090025
115,1.7848866999149322
116,2.0258400094509126
117,1.6668277406692504
118,1.495176784992218
119,1.9070327222347259
120,1.981797137260437
121,1.8458774161338807
122,1.9969539093971251
123,1.7959187364578246
124,1.7817628955841065
125,2.191561548709869
126,2.053011178970337
127,2.004482743740082
128,2.0520222854614256
129,1.8870573377609252
130,2.165940988063812
131,1.7358830547332764
132,1.8464317584037782
133,1.9042795872688294
134,1.8480696725845336
135,1.7693501138687133
136,2.03526371717453
137,1.8424007439613341
138,1.7732854747772218
139,1.6434255576133727
140,1.6845602130889892
141,1.7596658325195313
142,1.6280799674987794
143,1.5788962960243225
144,1.8641872525215148
145,1.8370889735221863
146,1.8539016962051391
147,1.7789774465560912
148,1.7029271841049194
149,1.5719614720344544
150,1.5773214268684388
151,1.5706154799461365
152,1.5703075909614563
153,2.699090201854706
154,2.2394639897346496
155,2.0490857315063478
156,1.8623055696487427
157,1.7931508708000183
158,2.0832728326320646
159,1.9782846343517304
160,1.9394405961036683
161,1.6389282590150833
162,1.4094135528802871
163,1.780802490711212
164,2.2012142968177795
165,1.8220577591657638
166,1.6446962076425553
167,1.5394121021032334
168,1.7345245599746704
169,1.5367393344640732
170,1.7119404232501985
171,1.534156174659729
172,1.7747303766012192
173,1.6363136583566666
174,1.879661766886711
175,2.082518231868744
176,1.7413484328985214
177,1.5705514550209045
178,1.698607410788536
179,2.0221755027771
180,1.7874660140275955
181,1.6689486932754516
182,1.6851069927215576
183,1.7126439929008483
184,2.0132663297653197
185,2.136652452945709
186,2.106177525520325
187,2.316438665390015
188,2.042785758972168
189,2.030878281593323
190,1.8585066998004913
191,1.5265524858236312
192,1.8057872557640076
193,1.4542828261852265
194,1.3098038017749787
195,1.7741980051994324
196,1.8404684829711915
197,1.6770769262313843
198,1.830618441104889
199,1.5983018350601197
200,1.616513614654541
201,2.0436957025527955
202,1.8772420954704285
203,1.7919547033309937
